Id,subproject,phs_id,project_num,radx_id,tier
System_Type,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Aptamer_Present,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Aptamer _Type,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Assay_Type,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Protein_Decorated_Bead,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Protein_Type,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Surface_Chemistry,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Surface_Source,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Protein_Concentration,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Average_Intensity,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
Std_Dev,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier3
protocol_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
technology_platform,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_group,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
target_analyte_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
target_organism_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
target_organism_taxonomy_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
pango_lineage,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
who_label,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_blank,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_blank_unit,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_detection,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_detection_reference_gene,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_detection_unit,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_detection_sn_ratio,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_detection_ci_percent,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
limit_of_detection_detail,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
analytical_sensitivity,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
analytical_sensitivity_unit,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_size,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
turnaround_time,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
turnaround_time_unit,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
assay_readout,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
assay_readout_unit,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
assay_readout_description,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_media,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_media_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_media_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_media_source_url,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_concentration,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_concentration_unit,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
sample_concentration_reference_gene,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_batch_number,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_inactivation_method,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
technology_description,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
technology_reference,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
biorecognition_type,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
forward_primer_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
forward_primer_sequence,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
reverse_primer_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
reverse_primer_sequence,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
probe_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
probe_sequence,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
target_analyte_type,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
signal_detection,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
surface,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
electrochemical_method_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
electrochemical_method_instrument,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
electrochemical_method_solution,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
electrochemical_method_solution_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
reference_electrode,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
auxiliary_electrode,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
working_electrode,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
immobilization_reagent_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
immobilization_reagent_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
immobilization_reagent_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
immobilization_reagent_source_url,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_region,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_region_start,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_region_end,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_modification,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_expression_system,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_formulation,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_source_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_source_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_receptor_source_url,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_sequence,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_modification_5prime,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_modification_5prime_role,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_formulation,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_source_url,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_target_organism_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_target_protein_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_target_protein_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
capture_aptamer_target_protein_region,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
isolate_name,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
gisaid_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
nucleotide_db_id,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
gisaid_clade,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_source_url,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_source,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_type,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_formulation,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_concentration,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_concentration_reference_gene,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_genome_equivalents,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_genome_equivalents_reference_gene,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_preinactivation_tcid50,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
virus_sample_grow_cell_line,Automatic Detection & Tracing,phs002546.v1.p1,1U01AA029328-01,rad_014_328-01,tier2
study_id,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
cohort_id,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
race,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
date_enrolled,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
ethnicity,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
age,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
sex,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
education,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
employment,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
insurance,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
deaf,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
blind,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
memory_dis,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
walking_climbing_dis,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
dress_bathe_dis,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
errand_dis,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
vaping,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
nicotine,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
alcohol_use,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
height_feet,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
height_inches,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
weight_lbs,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier1
covid_test_type,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
covid_test_specimen_type,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
covid_test_specimen_collector,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
covid_test_result,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
protocol_id,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
technology_platform,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
cohort_size,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
true_positives,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
true_negatives,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
false_positives,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
false_negatives,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_sensitivity,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_sensitivity_ci_percent,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_sensitivity_ci_min,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_sensitivity_ci_max,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_specificity,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_specificity_ci_percent,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_specificity_ci_min,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
clinical_specificity_ci_max,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
positive_predictive_value,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
positive_predictive_value_ci_percent,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
positive_predictive_value_ci_min,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
positive_predictive_value_ci_max,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
negative_predictive_value,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
negative_predictive_value_ci_percent,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
negative_predictive_value_ci_min,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
negative_predictive_value_ci_max,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
technology_description,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
technology_reference,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
analyte_type,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
signal_detection,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
measurement_type,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
surface,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_id,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_clonality,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_modification,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_modification_role,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_expression_system,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_host_organism_name,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_host_organism_taxonomy_id,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_target_organism_name,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_target_organism_taxonomy_id,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
capture_nanobody_source,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
target_analyte_type,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
specimen_type,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
assay_readout,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
assay_readout_unit,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
assay_readout_description,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
assay_result,Automatic Detection & Tracing,phs002700.v1.p1,1U01AA029331-01,rad_014_331-01,tier2
protocol_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
technology_platform,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_group,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
target_analyte_name,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
target_organism_name,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
target_organism_taxonomy_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
limit_of_blank,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
limit_of_blank_unit,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
limit_of_detection,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
limit_of_detection_reference_gene,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
limit_of_detection_unit,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
limit_of_detection_detail,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_size,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
turnaround_time,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
turnaround_time_unit,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
target_analyte_type,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_media,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
dna_motor_trajectory,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
dna_motor_frame,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
dna_motor_x_position,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
dna_motor_y_position,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
assay_result,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
assay_result_other,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
assay_readout,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
assay_readout_unit,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
assay_readout_description,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_media_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_media_source_name,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_media_source,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_media_source_url,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_concentration,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_concentration_unit,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
sample_concentration_reference_gene,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
isolate_name,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
antigen_name,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
antigen_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
antigen_region,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
virus_sample_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
virus_batch_number,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
technology_description,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
technology_reference,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
biorecognition_type,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
signal_detection,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
measurement_type,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
surface,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
immobilization_reagent_name,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
immobilization_reagent_source,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
immobilization_reagent_source_url,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
particle_aptamer_id,Automatic Detection & Tracing,phs002744.v1.p1,1U01AA029345-01,rad_014_345-01,tier2
